"UniqueID","site_id","lat","lon","pft","field_id","site.pft","id"
1201175,"aa8c8cadf5efa20f",40.51496,-124.02349,"annual crop",416126,"grass",416126
4501224,"c3cc92790e82238f",40.63064,-121.90013,"annual crop",333471,"temperate.deciduous",333471
1200468,"b88961b09985da28",40.72994,-124.18378,"annual crop",146495,"grass",146495
1801128,"803cd0235a410598",40.92088,-120.55699,"annual crop",596238,"temperate.deciduous",596238
4500613,"9e9b2e8dd0670374",41.0422,-121.47316,"annual crop",129806,"annual_crop",129806
1802573,"507ebd1c6e9f5d14",41.14991,-120.97333,"annual crop",166378,"annual_crop",166378
2502746,"41e40eb7f9b60788",41.54258,-120.46489,"annual crop",119981,"temperate.deciduous",119981
4702940,"5433838600b8edc0",41.54862,-122.51858,"annual crop",73869,"grass",73869
4703655,"72d745ad8741be18",41.62203,-122.78298,"annual crop",270537,"temperate.deciduous",270537
3707491,"b8b2dd94a7c44662",33.35306,-117.19182,"woody perennial crop",142144,"temperate.deciduous",142144
3312395,"ebb783e86d2ac6fb",33.57847,-116.03157,"woody perennial crop",210132,"annual_crop",210132
3312961,"6328b22167f31aad",33.86884,-117.40838,"woody perennial crop",52904,"temperate.deciduous",52904
3306059,"df703141000c59c9",33.90119,-117.40624,"woody perennial crop",246044,"temperate.deciduous",246044
3311313,"9c562bb603f3b156",33.96727,-117.34049,"woody perennial crop",415399,"temperate.deciduous",415399
5604295,"9a28cf783448dc03",34.29708,-119.06014,"woody perennial crop",579078,"annual_crop",579078
5603719,"d1dd970659a71943",34.37258,-119.03318,"woody perennial crop",342312,"temperate.deciduous",342312
5603233,"11aa82e47c15b8df",34.38596,-118.81446,"woody perennial crop",591910,"temperate.deciduous",591910
5604628,"5b18c5e0bebe449b",34.47244,-119.22015,"woody perennial crop",361657,"annual_crop",361657
4203463,"096c9eebd28d0280",34.91295,-120.40345,"woody perennial crop",309420,"temperate.deciduous",309420
1510506,"dbb2c95a5cb30b5d",35.05618,-119.2735,"woody perennial crop",457189,"annual_crop",457189
1516688,"5e21d98f69f14285",35.49646,-119.72323,"woody perennial crop",159628,"temperate.deciduous",159628
1518251,"cf9c2d9309d78058",35.65629,-119.97917,"woody perennial crop",530939,"temperate.deciduous",530939
1511610,"6616b64433b71c3c",35.77284,-119.09088,"woody perennial crop",264940,"temperate.deciduous",264940
5420540,"d69343ed38ea49c7",35.93301,-119.01888,"woody perennial crop",506934,"temperate.deciduous",506934
5406185,"729a6ef989c5a277",35.96904,-118.98552,"woody perennial crop",399919,"annual_crop",399919
5424759,"a860cdc63cfc7cd1",35.98506,-119.01459,"woody perennial crop",438776,"annual_crop",438776
5426684,"25d92d00fe5f31ea",35.99613,-119.13104,"woody perennial crop",435387,"annual_crop",435387
5424088,"69151056c07813d8",36.0165,-119.12213,"woody perennial crop",256284,"temperate.deciduous",256284
5420816,"7b2e85c30ecfcbe8",36.03695,-118.96562,"woody perennial crop",36568,"temperate.deciduous",36568
5429747,"04268ba7e72d7bfb",36.04216,-119.36168,"woody perennial crop",437320,"annual_crop",437320
5435846,"2c9f5faf24bff9fd",36.13925,-119.10525,"woody perennial crop",64866,"temperate.deciduous",64866
1011248,"2e11530b93cd492f",36.1778,-120.20411,"woody perennial crop",534243,"temperate.deciduous",534243
5427391,"f0c5457e0db29788",36.18711,-118.99795,"woody perennial crop",161973,"annual_crop",161973
1020088,"d6ce58a349148d32",36.20587,-120.25336,"woody perennial crop",552384,"temperate.deciduous",552384
5424360,"8b27eb5fc60d506c",36.25395,-119.26319,"woody perennial crop",60019,"temperate.deciduous",60019
5428155,"64cf20b7075f16bd",36.28705,-119.12755,"woody perennial crop",299600,"temperate.deciduous",299600
5429900,"bfee4301f7c99060",36.35733,-119.09283,"woody perennial crop",590334,"temperate.deciduous",590334
5418978,"7afa2a6c097c1f5b",36.3626,-119.10984,"woody perennial crop",122397,"annual_crop",122397
5420876,"6c1e7a1eb4c36ea5",36.37693,-119.45051,"woody perennial crop",64413,"temperate.deciduous",64413
1601598,"e968e9c8f8574cb2",36.38383,-119.65554,"woody perennial crop",36632,"temperate.deciduous",36632
1603759,"4c3498f22c47aa3f",36.47325,-119.58999,"woody perennial crop",266950,"annual_crop",266950
5432363,"ce81d5b03685a33e",36.48936,-119.44393,"woody perennial crop",276202,"grass",276202
1015089,"05ce4008f973ff67",36.49535,-119.5918,"woody perennial crop",372529,"temperate.deciduous",372529
5413858,"1114b0b499d4854c",36.51519,-119.42062,"woody perennial crop",554766,"temperate.deciduous",554766
5408292,"6def26440f10476c",36.5524,-119.45881,"woody perennial crop",186067,"annual_crop",186067
5410669,"60f846ca525da31e",36.55727,-119.22236,"woody perennial crop",317400,"temperate.deciduous",317400
5421095,"427606829eff9a98",36.6005,-119.25964,"woody perennial crop",45931,"temperate.deciduous",45931
1012828,"32b66a2605ee700d",36.62789,-119.5511,"woody perennial crop",500124,"temperate.deciduous",500124
1004605,"29baab2f12e2fd80",36.62869,-119.55927,"woody perennial crop",320852,"annual_crop",320852
1014765,"b68880e61d448b93",36.62893,-119.6305,"woody perennial crop",119866,"annual_crop",119866
1033716,"ecc585936d3203a5",36.63048,-119.58156,"woody perennial crop",145382,"temperate.deciduous",145382
1024981,"24766015396f3dde",36.63384,-119.49152,"woody perennial crop",574575,"temperate.deciduous",574575
1033342,"cf0be21778f4dfa5",36.64072,-119.42862,"woody perennial crop",429479,"annual_crop",429479
5416064,"39b7dba5debef188",36.6438,-119.28748,"woody perennial crop",123179,"grass",123179
1008233,"9c19b1bcbd391e00",36.6657,-120.07238,"woody perennial crop",274162,"temperate.deciduous",274162
1024636,"268a52869b01fe54",36.703,-120.23483,"woody perennial crop",570286,"annual_crop",570286
1009725,"17b056351d1484f8",36.73876,-120.03574,"woody perennial crop",325384,"annual_crop",325384
6000264,"a05ea26a797f4bad",36.74201,-119.66029,"woody perennial crop",388977,"temperate.deciduous",388977
1022803,"4032fbd64a0b5147",36.76356,-119.50957,"woody perennial crop",326573,"annual_crop",326573
1027402,"bd841534f8883a00",36.79087,-120.42722,"woody perennial crop",209782,"temperate.deciduous",209782
1001260,"7a8855e8f27579dd",36.822,-120.01067,"woody perennial crop",287694,"temperate.deciduous",287694
2007540,"e07417e56c78efbc",36.82779,-120.13964,"woody perennial crop",557284,"annual_crop",557284
2003975,"462a123c3840df4e",36.88373,-119.96643,"woody perennial crop",390655,"temperate.deciduous",390655
1027797,"3bde8bc179b8fcae",36.90691,-119.67872,"woody perennial crop",152867,"annual_crop",152867
4401700,"57ea98e608333b76",36.90697,-121.68079,"woody perennial crop",595302,"temperate.deciduous",595302
2005008,"3747151a269036b7",36.94728,-120.10533,"woody perennial crop",159849,"temperate.deciduous",159849
